personId,countryXName,countryYName,startDate,durationDays
26388279070241,Vietnam,France,2012-12-15T00:00:00+00:00,7
15393162796560,Tunisia,Papua_New_Guinea,2012-12-25T00:00:00+00:00,24
28587302322607,Cuba,Singapore,2012-06-19T00:00:00+00:00,28
24189255811299,Kazakhstan,Ethiopia,2012-12-22T00:00:00+00:00,6
28587302323353,Belgium,Papua_New_Guinea,2012-12-10T00:00:00+00:00,7
21990232556337,Azerbaijan,Portugal,2012-07-26T00:00:00+00:00,7
21990232563743,Brazil,Belgium,2012-03-28T00:00:00+00:00,12
15393162793718,Senegal,Malaysia,2012-09-10T00:00:00+00:00,26
7554,Dominican_Republic,Nepal,2012-02-17T00:00:00+00:00,12
7761,Swaziland,Italy,2012-12-04T00:00:00+00:00,12
1975,Romania,Colombia,2012-10-19T00:00:00+00:00,5
10995116281430,Laos,Ethiopia,2012-07-07T00:00:00+00:00,28
8796093026568,Russia,Switzerland,2011-09-28T00:00:00+00:00,30
10995116284315,Egypt,United_Kingdom,2012-08-29T00:00:00+00:00,21
30786325580176,England,Argentina,2012-12-18T00:00:00+00:00,9
4398046515804,Angola,Poland,2012-12-02T00:00:00+00:00,24
32985348833693,Moldova,Peru,2012-10-10T00:00:00+00:00,17
